iter	Passed	Remaining
0	61	61311
1	61	30817
2	62	20660
3	62	15552
4	62	12495
5	63	10457
6	63	8999
7	63	7907
8	64	7054
9	64	6374
10	64	5820
11	64	5351
12	65	4963
13	65	4624
14	65	4330
15	66	4071
16	66	3841
17	66	3646
18	67	3467
19	67	3304
20	67	3157
21	67	3022
22	68	2899
23	68	2789
24	68	2689
25	69	2594
26	69	2506
27	69	2423
28	70	2349
29	70	2277
30	70	2208
31	70	2146
32	71	2086
33	71	2032
34	71	1981
35	72	1934
36	72	1889
37	72	1845
38	73	1802
39	73	1762
40	73	1726
41	74	1692
42	74	1659
43	74	1625
44	75	1596
45	75	1568
46	75	1541
47	76	1514
48	76	1488
49	77	1463
50	77	1439
51	77	1417
52	78	1393
53	78	1371
54	78	1351
55	78	1331
56	79	1311
57	79	1293
58	79	1275
59	80	1257
60	80	1239
61	80	1223
62	81	1208
63	81	1192
64	81	1176
65	82	1162
66	82	1148
67	82	1135
68	83	1122
69	83	1109
70	83	1096
71	84	1083
72	84	1070
73	84	1060
74	85	1048
75	85	1038
76	85	1027
77	86	1016
78	86	1006
79	86	996
80	87	987
81	87	978
82	87	966
83	87	956
84	88	947
85	88	938
86	88	931
87	89	923
88	89	915
89	89	906
90	90	899
91	90	892
92	90	885
93	91	877
94	91	871
95	91	864
96	92	856
97	92	850
98	92	843
99	92	836
100	93	830
101	93	823
102	93	817
103	94	810
104	94	805
105	94	799
106	95	794
107	95	787
108	95	781
109	95	775
110	96	770
111	96	765
112	96	760
113	97	755
114	97	751
115	97	745
116	98	740
117	98	735
118	98	731
119	99	726
120	99	722
121	99	717
122	100	713
123	100	709
124	100	705
125	101	700
126	101	696
127	101	692
128	101	688
129	102	684
130	102	680
131	102	676
132	103	672
133	103	668
134	103	665
135	104	661
136	104	657
137	104	654
138	105	651
139	105	647
140	105	644
141	105	640
142	106	637
143	106	633
144	106	630
145	107	626
146	107	622
147	107	619
148	107	616
149	108	613
150	108	610
151	108	607
152	109	604
153	109	601
154	109	598
155	110	595
156	110	592
157	110	589
158	111	587
159	111	584
160	111	580
161	111	578
162	112	575
163	112	573
164	112	571
165	113	568
166	113	565
167	113	563
168	114	561
169	114	558
170	114	556
171	115	554
172	115	551
173	115	549
174	116	547
175	116	545
176	116	543
177	117	540
178	117	538
179	117	535
180	117	533
181	118	531
182	118	529
183	118	526
184	119	524
185	119	522
186	119	520
187	120	518
188	120	516
189	120	514
190	120	512
191	121	510
192	121	508
193	121	506
194	122	504
195	122	502
196	122	500
197	123	498
198	123	497
199	123	494
200	124	492
201	124	491
202	124	489
203	124	487
204	125	485
205	125	483
206	125	481
207	125	479
208	126	477
209	126	475
210	126	474
211	127	473
212	127	471
213	127	469
214	128	467
215	128	466
216	128	464
217	128	462
218	129	460
219	129	459
220	129	457
221	130	456
222	130	454
223	130	453
224	131	451
225	131	450
226	131	448
227	132	447
228	132	445
229	132	444
230	133	443
231	133	441
232	133	440
233	134	439
234	134	438
235	134	436
236	135	435
237	135	434
238	135	432
239	136	431
240	136	430
241	136	428
242	137	427
243	137	425
244	137	424
245	138	423
246	138	421
247	138	420
248	138	418
249	139	417
250	139	416
251	139	414
252	140	413
253	140	412
254	140	411
255	141	410
256	141	409
257	141	408
258	142	406
259	142	405
260	142	404
261	143	402
262	143	401
263	143	400
264	144	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	394
270	146	392
271	146	391
272	146	390
273	146	389
274	147	388
275	147	387
276	147	386
277	148	384
278	148	383
279	148	382
280	149	381
281	149	380
282	149	379
283	150	378
284	150	378
285	151	377
286	151	376
287	151	375
288	152	374
289	152	373
290	152	372
291	153	371
292	153	370
293	153	369
294	154	368
295	154	368
296	155	366
297	155	365
298	155	364
299	155	363
300	156	362
301	156	362
302	156	361
303	157	360
304	157	359
305	157	358
306	158	357
307	158	356
308	158	355
309	159	354
310	159	353
311	159	352
312	160	351
313	160	350
314	160	349
315	161	348
316	161	348
317	161	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	163	341
324	164	340
325	164	339
326	164	339
327	165	338
328	165	337
329	165	336
330	165	335
331	166	334
332	166	333
333	166	332
334	167	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	326
340	168	325
341	168	325
342	169	324
343	169	323
344	169	322
345	169	321
346	170	320
347	170	319
348	170	318
349	171	317
350	171	316
351	171	315
352	171	314
353	172	314
354	172	313
355	172	312
356	172	311
357	173	310
358	173	309
359	173	308
360	173	307
361	174	306
362	174	305
363	174	304
364	174	304
365	175	303
366	175	302
