iter	Passed	Remaining
0	57	57649
1	58	28965
2	58	19383
3	58	14592
4	58	11715
5	59	9809
6	59	8443
7	59	7422
8	60	6618
9	60	5978
10	60	5452
11	60	5015
12	61	4649
13	61	4338
14	61	4069
15	62	3831
16	62	3617
17	62	3430
18	63	3261
19	63	3110
20	63	2972
21	64	2847
22	64	2732
23	64	2627
24	64	2529
25	65	2438
26	65	2359
27	65	2284
28	66	2213
29	66	2147
30	66	2084
31	67	2028
32	67	1974
33	67	1924
34	67	1874
35	68	1828
36	68	1784
37	68	1743
38	69	1704
39	69	1667
40	69	1631
41	70	1596
42	70	1564
43	70	1534
44	70	1504
45	71	1476
46	71	1448
47	71	1425
48	72	1402
49	72	1379
50	72	1356
51	73	1333
52	73	1311
53	73	1290
54	73	1269
55	74	1250
56	74	1231
57	74	1213
58	75	1196
59	75	1180
60	75	1164
61	75	1148
62	76	1132
63	76	1117
64	76	1102
65	77	1089
66	77	1075
67	77	1062
68	77	1049
69	78	1038
70	78	1027
71	78	1015
72	79	1003
73	79	992
74	79	981
75	79	971
76	80	960
77	80	950
78	80	940
79	80	931
80	81	921
81	81	912
82	81	901
83	81	893
84	82	884
85	82	876
86	82	868
87	83	860
88	83	852
89	83	845
90	83	837
91	84	830
92	84	824
93	84	817
94	85	811
95	85	805
96	85	798
97	86	792
98	86	786
99	86	780
100	87	775
101	87	769
102	87	763
103	87	757
104	88	752
105	88	746
106	88	741
107	89	736
108	89	730
109	89	725
110	90	721
111	90	717
112	90	712
113	91	707
114	91	702
115	91	697
116	91	692
117	92	688
118	92	683
119	92	678
120	92	674
121	93	669
122	93	665
123	93	661
124	93	657
125	94	653
126	94	648
127	94	644
128	94	640
129	95	637
130	95	633
131	95	629
132	95	625
133	96	622
134	96	619
135	96	616
136	97	612
137	97	609
138	97	605
139	98	602
140	98	599
141	98	594
142	98	591
143	98	588
144	99	585
145	99	582
146	99	579
147	100	575
148	100	573
149	100	570
150	101	568
151	101	565
152	101	562
153	101	560
154	102	557
155	102	554
156	102	552
157	103	549
158	103	546
159	103	544
160	103	540
161	104	538
162	104	535
163	104	533
164	104	531
165	105	528
166	105	526
167	105	523
168	106	521
169	106	519
170	106	517
171	106	515
172	107	513
173	107	511
174	108	509
175	108	508
176	108	506
177	109	504
178	109	502
179	109	500
180	110	498
181	110	495
182	110	493
183	110	491
184	111	489
185	111	487
186	111	485
